,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
0,3.355383,0.9691038,4.630688,0.5339,0.061339412,0.9525223,83.159294,5.1877394,36.35261,0.17521481,0.19456542,0.98570734,0.007038686,-0.85950375,0.7698401,0.4357116,0.22455001,0.7894973,0.9485578,1.8962071,3.8345695,0.28173727
1,4.0867033,1.4952791,6.34377,0.9998672,0.015671024,5.554265,81.16293,4.7139606,30.194511,0.8360611,0.10842835,0.048663665,0.39240465,-0.39150667,-0.16255915,0.08780079,0.1989294,0.51370215,0.5038663,3.095799,5.868318,0.86096674
2,2.8690906,1.4953725,5.4402347,0.99875164,0.098486125,0.23768425,84.93425,4.915698,36.194717,0.23990309,0.25980484,0.14690118,0.008273961,-0.6020715,-0.32537162,0.7231892,0.21900591,0.22002058,0.14728674,0.7800119,3.618005,0.3498045
3,3.3734384,2.3660517,3.8346813,0.98432326,0.027967216,2.624298,79.015076,5.2491198,32.094208,0.0460974,0.2115248,0.87199765,0.13220344,-0.6595411,-0.87164676,0.30548623,0.10467202,0.30886847,0.03565472,1.2487073,3.6470242,0.9859449
4,3.395463,1.7263916,4.5132732,0.8171185,0.043927003,2.6799574,87.01543,4.8817863,35.42062,0.047034524,0.27023053,0.87450475,0.083437435,-0.4034816,-0.4328369,0.058690816,0.10734656,0.895833,0.0519875,1.2460328,3.7040684,0.9779016
5,3.8552327,0.9335222,5.2887588,0.94317734,0.027481994,3.637848,82.90825,5.1444364,33.751522,0.912542,0.06866912,0.13511802,0.48326153,-0.8860624,0.25192702,0.7428799,0.3352365,0.115899384,0.8946294,1.1340415,1.96754,0.5507297
6,3.4977412,0.3788333,3.0207834,0.77900773,0.058908723,3.6562347,82.84314,5.475278,34.36935,0.9572379,0.042547107,0.3731002,0.015237169,-0.041490138,-0.3853224,0.42230192,0.2620747,0.92316604,0.09749875,1.9513528,1.8207325,0.7532489
7,3.4362164,-0.1459055,3.969344,0.93940043,0.03310219,3.8212242,86.79396,5.8134394,35.731712,0.42022598,0.13737677,0.15421091,0.21567841,0.12196803,-0.64747775,0.78587675,0.16991132,0.9364882,0.034921866,0.8031705,2.9475622,0.47679147
8,4.288028,1.2147067,5.0180917,0.88346255,0.021326806,4.14472,90.00479,5.276469,32.333,0.31679773,0.1186493,0.7570802,0.054356962,-0.22961587,0.56161404,0.086798854,0.1264036,0.1123272,0.28508276,1.2720133,3.5285897,0.90616846
9,3.43616,1.1518695,4.3937087,0.8028404,0.043595817,3.1200619,77.92225,5.302302,33.52161,0.8413455,0.18591724,0.9566743,0.16850373,-0.36317772,-0.9607718,0.9212016,0.1342401,0.71279067,0.023862448,0.9269932,1.9555943,0.3670091
