Unnamed: 0,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin,rho_chi_1_true,rho_chi_2_true
0,2.8789148,1.1442065,1.1436079,0.7916777,0.067254886,2.7265644,78.10311,5.637513,27.953806,0.6489791,0.16109747,0.33157572,0.044429477,0.79186535,-0.7354512,0.95019525,0.06338492,0.24582168,0.21874855,1.2316399,5.721821,0.6422978,0.6387289557444743,-0.2944825085869187
1,3.4609241,0.5794997,5.1436067,0.7992289,0.056450333,2.5838814,77.600815,5.4154944,33.850914,0.28466862,0.061665025,0.6779197,0.19744466,-0.97326237,0.9030806,0.90682,0.39398184,0.95664775,0.19285728,1.1651069,6.5039277,0.50742954,-0.8072478354941112,0.3224833143117449
2,2.8722029,-0.2152313,4.3214426,0.8381659,0.07387307,3.8019457,88.612144,4.180468,31.801304,0.078209996,0.11795343,0.15931505,0.1664033,-0.9548963,-0.4715066,0.49250656,0.70208204,0.3579448,0.8586625,1.3547386,3.2555828,0.94208115,-0.3478454776943295,-0.15402354737716858
3,4.052001,1.1230087,4.870722,0.51228374,0.035929676,1.9843283,90.81831,4.782156,34.620476,0.22818093,0.4149231,0.08948741,0.60012066,0.8570198,-0.6810149,0.08782508,0.25364244,0.0596868,0.34131718,1.2098824,6.46463,0.30209163,0.748300114052728,-0.6231769013215103
4,3.2990403,0.20582819,6.2496314,0.76264155,0.037330803,4.393367,78.88995,4.4980173,27.907272,0.10925788,0.16023828,0.16800334,0.096764356,-0.7127725,-0.9419259,0.8430679,0.6208878,0.9133843,0.58637875,3.3516397,5.750675,0.87977195,-0.2004670740465545,-0.3300597198239512
5,3.8631105,0.9723034,3.8120391,0.7514113,0.036868934,0.7737236,92.61167,5.7865677,38.5259,0.9936772,0.25306073,0.90913296,0.018843958,-0.5079738,0.87176335,0.6908182,0.00079426024,0.019964093,0.121069245,2.1843655,4.1013465,0.17859466,-0.3489595294687786,0.5742465873981326
6,3.3368406,-0.450392,3.6769829,0.8451564,0.048965007,5.5984354,96.185,5.2315865,33.674908,0.75388765,0.22427903,0.33431798,0.13844584,0.7397926,0.016845345,0.2836153,0.42860687,0.91205984,0.17931724,3.07542,2.3323662,0.14310084,0.510195624439766,0.003900409227186914
7,3.3861933,-0.7543068,2.3786592,0.91149044,0.05226766,5.540432,97.75034,5.505466,34.47202,0.5272918,0.18941674,0.24327023,0.084294304,0.8052981,-0.3231923,0.21589838,0.31601226,0.79986346,0.3077689,3.3261788,3.5825582,0.10412971,0.6263781230454094,-0.11274653872590211
8,3.5054088,1.9098363,6.593691,0.54612285,0.016734893,1.9717083,90.77909,4.4139977,35.671207,0.04913529,0.2775792,0.25871417,0.12566665,-0.93789005,0.73783326,0.48291898,0.52763355,0.13580465,0.27931535,1.1119981,3.538718,0.8667823,-0.5824985850864706,0.4936514851939884
9,3.0029178,-0.27830935,7.2795563,0.71041346,0.044184167,1.8794804,83.10582,4.5304985,35.498554,0.11868029,0.054369632,0.19245239,0.7991546,0.63576925,-0.686669,0.52107203,0.06113059,0.5818067,0.890205,3.4932353,3.3311415,0.40540835,0.19426862644931267,-0.20964213259944095
10,3.6507697,2.3803825,4.0085545,0.51438785,0.05563419,1.5568142,94.37465,5.54978,33.495518,0.0036222672,0.9584973,0.05401108,0.048404418,0.028799534,-0.61542964,0.08641843,0.9890984,0.3643055,0.15915307,2.7521286,3.5087988,0.97969604,0.005381645350341823,-0.17563845777144985
11,3.6791549,-0.36465383,8.927322,0.68701684,0.01442244,5.23654,77.05307,4.2017493,34.555847,0.021642601,0.09810066,0.019218458,0.91522676,0.21177971,-0.31452,0.03278621,0.115533,0.38086563,0.7242068,2.2006323,2.1480646,0.06883838,0.0610397148494307,-0.11952217550525929
12,4.3054724,3.431305,4.9091988,0.5273022,0.073222205,2.6039362,85.90439,5.6416607,29.537998,0.1048952,0.09231585,0.034136858,0.25028428,0.8023511,0.5303488,0.01546028,0.32554933,0.20064485,0.31402123,3.2899399,9.285654,0.8680829,0.6189074690312545,0.3687327605463494
13,4.067897,0.77240515,4.862438,0.60868114,0.04214418,3.9132366,88.16046,5.261397,28.03986,0.15572837,0.0028876143,0.39049822,0.3949795,-0.59564185,0.59766364,0.07006266,0.7949252,0.1334578,0.76396024,3.196621,7.0620575,0.9808183,-0.11094571684642572,0.5809152281038364
14,3.3934555,0.05407834,3.2852287,0.7998633,0.0497836,4.2377844,84.634834,5.5985937,35.490192,0.6736289,0.3970721,0.110636555,0.120394886,-0.7984978,-0.08376557,0.9407554,0.16313645,0.7375057,0.0350081,1.4879172,2.9115746,0.14637858,-0.7901066606065182,-0.009528810645876344
15,3.6877003,0.28919864,4.461584,0.6511221,0.04217488,2.3832083,91.95386,5.1866646,32.675087,0.3667066,0.08902459,0.048362166,0.22718515,-0.2000435,-0.38916045,0.7395268,0.94692993,0.1338766,0.28473768,1.6317394,3.304402,0.7539121,-0.044090533404912535,-0.10396665123509821
16,3.5241818,-0.037168145,4.9626684,0.80515337,0.03518677,3.3879242,74.1139,5.151042,34.333984,0.72779036,0.23038669,0.842832,0.03084704,-0.46824807,0.8557508,0.39235017,0.004236583,0.82538074,0.035743836,0.6657591,1.8644111,0.5441565,-0.3768142410927685,0.45970891752511994
17,3.4756756,-0.6483996,4.4826694,0.92878246,0.07885397,3.2135572,83.39769,5.1609635,35.47664,0.7141652,0.26720217,0.77747977,0.042588588,-0.60545,0.37871814,0.44519734,0.010878305,0.36847126,0.50866324,1.5427958,2.994142,0.4669677,-0.3563637709496147,0.16468682659952866
18,2.9615293,0.45775652,3.3605552,0.74153453,0.04708438,2.8267002,76.430756,5.7109327,35.18762,0.7940446,0.21045466,0.3630905,0.12641647,-0.7862304,0.05271721,0.65343404,0.021622788,0.76178956,0.0067958,1.1518128,2.8094287,0.7532108,-0.7862304000000163,0.008160633236976625
19,3.2460914,1.0429685,7.0327253,0.88213,0.08795122,0.50317574,98.757866,5.042016,33.014687,0.6745127,0.17059825,0.83238757,0.08883847,0.41816747,0.0059587955,0.3697959,0.20804064,0.16542116,0.028505895,0.9139392,5.006702,0.53930646,0.32965712552385545,0.0031926874479277743
20,2.7097564,0.9411931,1.2250131,0.7788408,0.14145787,0.90990925,94.8622,5.1801815,32.70912,0.7565607,0.1507538,0.86970776,0.17388487,-0.2119928,0.18752956,0.4455132,0.080361426,0.32386097,0.07855923,1.0876739,6.2162585,0.8964162,-0.1889014275468976,0.07484782844366132
