event,lnBayes
GW150914,1.3794528
GW150914,0.6976961
GW150914,1.5523745
GW150914,1.9354044
GW150914,0.75878835
GW150914,0.75954616
GW150914,1.6226395
GW150914,1.0917804
GW150914,2.3591106
GW150914,0.33989212
GW150914,0.5601738
GW150914,-0.12107388
GW150914,-0.5676548
GW150914,2.427829
GW150914,1.6926957
GW150914,1.8182268
GW150914,1.3461897
GW150914,1.5465274
GW150914,0.49042308
GW150914,0.7019163
GW150914,1.8671144
GW150914,3.0535564
GW150914,-0.11834457
GW150914,-0.18967499
GW150914,2.8036497
GW150914,0.19181955
GW150914,0.15604103
GW150914,2.1018927
GW150914,0.7417487
GW150914,1.9071774
GW150914,0.57343477
GW150914,-0.26072276
GW150914,1.5939646
GW150914,0.8841611
GW150914,1.5143079
GW150914,1.2274086
GW150914,0.9282912
GW150914,1.7403253
GW150914,1.135776
GW150914,0.8586523
GW150914,2.133879
GW150914,0.5604454
GW150914,-0.0077478443
GW150914,-0.037114907
GW150914,-0.12907556
GW150914,0.11585296
GW150914,0.05213487
GW150914,0.00094547856
GW150914,1.1250087
GW150914,0.5094884
GW150914,-0.14551312
GW150914,0.3114105
GW150914,1.3727275
GW150914,0.2853827
GW150914,1.3219558
GW150914,1.264011
GW150914,2.8277833
GW150914,3.4613345
GW150914,-0.21145621
GW150914,0.5750162
GW150914,0.55210817
GW150914,3.771248
GW150914,0.53403664
GW150914,0.44500315
GW150914,0.3556363
GW150914,0.15855528
GW150914,0.95750785
GW150914,1.1217569
GW150914,0.651575
GW150914,1.4606655
GW150914,0.67684215
GW150914,0.8438963
GW150914,-0.08658756
GW150914,0.21867448
GW150914,1.1749959
GW150914,1.2115425
GW150914,1.2901639
GW150914,0.46215376
GW150914,1.4430686
GW150914,1.4430686
GW150914,2.0099099
GW150914,0.9822775
GW150914,0.19517729
GW150914,2.245404
GW150914,2.5105672
GW150914,-0.18534589
GW150914,1.3176883
GW150914,-0.01220226
GW150914,1.9293376
GW150914,1.060051
GW150914,0.3771612
GW150914,0.013093683
GW150914,1.3178471
GW150914,0.99661016
GW150914,1.1589878
GW150914,0.49451718
GW150914,1.1730683
GW150914,0.792053
GW150914,0.7427688
GW150914,1.244149
GW150914,0.30710346
GW150914,1.6573288
GW150914,0.24794576
GW150914,0.3313837
GW150914,1.4130796
GW150914,1.4130796
GW150914,0.5100723
GW150914,1.8431684
GW150914,1.8517275
GW150914,0.5512974
GW150914,0.5050181
GW150914,0.86603343
GW150914,0.6334353
GW150914,1.2794489
GW150914,0.2651021
GW150914,0.7304541
GW150914,0.9338829
GW150914,0.9702212
GW150914,0.8846764
GW150914,1.5891302
GW150914,0.4145363
GW150914,1.3205336
GW150914,1.5453799
GW150914,1.437677
GW150914,1.5698149
GW150914,1.0108292
GW150914,1.1410534
GW150914,0.8339516
GW150914,0.24205624
GW150914,2.5611398
GW150914,0.13964437
GW150914,1.0013434
GW150914,0.37834924
GW150914,1.4704398
GW150914,0.47346294
GW150914,0.97839975
GW150914,0.8005307
GW150914,0.18480442
GW150914,0.015955038
GW150914,0.67696697
GW150914,0.98500425
GW150914,0.689563
GW150914,0.9394635
GW150914,-0.045080446
GW150914,0.71842194
GW150914,0.0028230597
GW150914,2.2173038
GW150914,0.74077237
GW150914,0.9730126
GW150914,-0.024776781
GW150914,0.96382856
GW150914,0.32699534
GW150914,0.08962175
GW150914,1.4889259
GW150914,-0.050359767
GW150914,0.28978384
GW150914,1.8977492
GW150914,0.5148493
GW150914,2.159299
GW150914,0.161247
GW150914,1.6556416
GW150914,1.3650297
GW150914,1.1513456
GW150914,0.23322384
GW150914,0.3455137
GW150914,0.7006208
GW150914,1.1160938
GW150914,1.3952451
GW150914,0.2316172
GW150914,1.9041818
GW150914,0.4858204
GW150914,1.4475255
GW150914,1.5051265
GW150914,1.0580567
GW150914,0.16233687
GW150914,1.2430595
GW150914,0.57022476
GW150914,-0.08870268
GW150914,0.20119129
GW150914,-0.083500475
GW150914,0.37545562
GW150914,0.9362122
GW150914,0.89274555
GW150914,1.226388
GW150914,0.98695064
GW150914,0.79071367
GW150914,0.21429293
GW150914,1.4594144
GW150914,0.918517
GW150914,0.60056657
GW150914,1.0787458
GW150914,0.39280272
GW150914,0.38774714
GW150914,0.5539289
GW150914,0.7410569
GW150914,0.35664058
GW150914,0.8318321
GW150914,0.6925742
GW150914,0.38203487
GW150914,1.8300536
GW150914,3.0799885
GW150914,-0.35408756
GW150914,0.78398895
GW150914,0.797645
GW150914,0.100285515
GW150914,-0.078788534
GW150914,0.75591147
GW150914,0.80250525
GW150914,0.9434532
GW150914,1.57119
GW150914,4.404268
GW150914,-0.22030275
GW150914,0.9641565
GW150914,0.82725155
GW150914,0.35852635
GW150914,1.8821495
GW150914,0.022192933
GW150914,0.19280377
GW150914,1.4735926
GW150914,2.2726128
GW150914,0.17971079
GW150914,1.3465923
GW150914,1.7938089
GW150914,-0.105672926
GW150914,0.053654946
GW150914,0.48877627
GW150914,0.4391263
GW150914,1.3654085
GW150914,0.698938
GW150914,1.5746982
GW150914,0.9324604
GW150914,1.2369063
GW150914,1.329608
