event,lnBayes
GW150914,0.4472456
GW150914,0.20340776
GW150914,0.023041254
GW150914,0.025194421
GW150914,0.039681476
GW150914,0.020396257
GW150914,0.51113415
GW150914,0.30361554
GW150914,0.028181132
GW150914,0.01615576
GW150914,0.25460145
GW150914,0.027783874
GW150914,0.021993656
GW150914,0.24133438
GW150914,0.12932105
GW150914,0.35657728
GW150914,0.09155609
GW150914,0.2136761
GW150914,1.0277362
GW150914,0.24275017
GW150914,0.073596045
GW150914,0.34784785
GW150914,0.044078786
GW150914,0.053755835
GW150914,0.18465567
GW150914,0.2528929
GW150914,0.1572256
GW150914,0.33525082
GW150914,0.1008587
GW150914,0.09130859
GW150914,0.38669968
GW150914,0.05380204
GW150914,0.44463062
GW150914,0.08030086
GW150914,0.3672265
GW150914,0.35581636
GW150914,0.31461146
GW150914,0.375986
GW150914,0.047016643
GW150914,0.05914162
GW150914,0.02593218
GW150914,0.035321705
GW150914,0.111516446
GW150914,0.066584565
GW150914,0.30215836
GW150914,0.35912645
GW150914,0.06285496
GW150914,0.16411017
GW150914,0.5512223
GW150914,0.17515564
GW150914,0.02061886
GW150914,0.042168587
GW150914,0.097797394
GW150914,0.13713308
GW150914,0.12749383
GW150914,0.114953935
GW150914,0.31135562
GW150914,0.20106076
GW150914,0.077572286
GW150914,0.059313864
GW150914,0.057648208
GW150914,0.4010787
GW150914,0.082127586
GW150914,0.021387655
GW150914,0.028861215
GW150914,0.018013453
GW150914,0.028187737
GW150914,0.04512117
GW150914,0.11859312
GW150914,0.808187
GW150914,0.12223102
GW150914,0.3412895
GW150914,0.03371101
GW150914,0.061368883
GW150914,0.21327494
GW150914,0.3303694
GW150914,0.18959714
GW150914,0.23569436
GW150914,0.35902116
GW150914,0.35902116
GW150914,0.04983952
GW150914,0.021202106
GW150914,0.07375286
GW150914,0.44037342
GW150914,0.32662866
GW150914,0.013554562
GW150914,0.041943647
GW150914,0.28761682
GW150914,0.0650446
GW150914,0.20512298
GW150914,1.207241
GW150914,0.042644024
GW150914,0.041549195
GW150914,0.13833609
GW150914,0.15490343
GW150914,0.088353716
GW150914,0.74099964
GW150914,0.050789356
GW150914,0.1702294
GW150914,0.49376008
GW150914,0.03387639
GW150914,0.05202624
GW150914,0.02445077
GW150914,0.04236366
GW150914,0.1726389
GW150914,0.1726389
GW150914,0.072176985
GW150914,0.020459097
GW150914,0.039237414
GW150914,0.25410125
GW150914,0.11935145
GW150914,0.17260608
GW150914,0.022672713
GW150914,0.063101776
GW150914,0.018084751
GW150914,0.013390491
GW150914,0.020023825
GW150914,0.017660042
GW150914,0.018039213
GW150914,0.13653705
GW150914,0.2232923
GW150914,0.0782346
GW150914,0.14470434
GW150914,0.2970719
GW150914,0.2838378
GW150914,0.24777839
GW150914,0.10585739
GW150914,0.17136388
GW150914,0.19888215
GW150914,0.21102667
GW150914,0.33036917
GW150914,0.20017293
GW150914,0.08710997
GW150914,0.06607631
GW150914,0.028518217
GW150914,0.015588812
GW150914,0.14231876
GW150914,0.062113713
GW150914,0.3261118
GW150914,0.04256966
GW150914,0.23216435
GW150914,0.023318704
GW150914,0.016152944
GW150914,0.02030141
GW150914,0.04399654
GW150914,0.058907993
GW150914,0.09678557
GW150914,0.5873428
GW150914,0.20405626
GW150914,0.2893105
GW150914,0.49560553
GW150914,0.090886645
GW150914,0.044935647
GW150914,0.053955548
GW150914,0.048042346
GW150914,0.057801243
GW150914,0.11311408
GW150914,0.02239905
GW150914,0.015633289
GW150914,0.08854478
GW150914,0.2647496
